#SampleID	Species	Treatment	ST
1	Alaria-esculenta	Frozen	Alaria-Frozen
2	Alaria-esculenta	Frozen	Alaria-Frozen
3	Alaria-esculenta	Silage-NoA	Alaria-NoA
4	Alaria-esculenta	Silage-NoA	Alaria-NoA
5	Alaria-esculenta	Silage-FA	Alaria-FA
6	Alaria-esculenta	Silage-FA	Alaria-FA
7	Alaria-esculenta	Silage-BI	Alaria-BI
8	Alaria-esculenta	Silage-BI	Alaria-BI
9	Alaria-esculenta	Silage-BI30	Alaria-BI30
10	Alaria-esculenta	Silage-BI30	Alaira-BI30
11	Saccharina-latissima	Frozen	Saccharina-Frozen
12	Saccharina-latissima	Frozen	Saccharina-Frozen
13	Saccharina-latissima	Silage-NoA	Saccharina-NoA
14	Saccharina-latissima	Silage-NoA	Saccharina-NoA
15	Saccharina-latissima	Silage-FA	Saccharina-FA
16	Saccharina-latissima	Silage-FA	Saccharina-FA
17	Saccharina-latissima	Silage-BI	Saccharina-BI
18	Saccharina-latissima	Silage-BI	Saccharina-BI
19	Saccharina-latissima	Silage-BI30	Saccharina-BI30
20	Saccharina-latissima	Silage-BI30	Saccharina-BI30
21	No-seaweed	Silage-NoA	Grass
22	No-seaweed	Silage-NoA	Maiz
23	No-seaweed	Silage-NoA	Wheat
24	No-seaweed	Silage-NoA	Blank